PRN, Elevation,Is Carrier Lock, residuals, C/No Max, C/No Min, MaxCno2Second, ExtremeMaxSnrValue, ExtremeMinSnrValue, Delta Carrier Freq, Delta Carrier phase, Clock Bias, Clock Drift, Delta Ionospheric Delay, deltaCorrected PR, 2nd delta,PS Residual, Los Value
1.0000000000,77.0000000000,0.0000000000,-494038.2930000000,40.0000000000,39.0000000000,39.0000000000,40.0000000000,19.0000000000,-0.3790000000,18092.2911000000,-0.0000093500,0.0000000000,0.0000000000,93.6744323100,0.4996586740,16.1362509900,LOS
3.0000000000,46.0000000000,0.0000000000,-433224.1804000000,31.0000000000,30.0000000000,31.0000000000,36.0000000000,20.0000000000,-0.4310000000,17890.4523500000,0.0001940000,0.0000000000,0.0000000000,293.7071774000,-2.2852787670,42.3028526000,NLOS
4.0000000000,66.0000000000,0.0000000000,-493224.8097000000,46.0000000000,45.0000000000,46.0000000000,48.0000000000,44.0000000000,-0.2910000000,18521.5988100000,-0.0000067700,0.0000000000,0.0000000000,335.9387230000,0.3045028630,-26.1496078400,LOS
9.0000000000,8.0000000000,0.0000000000,-514815.5932000000,44.0000000000,43.0000000000,44.0000000000,45.0000000000,43.0000000000,-0.3650000000,17601.2169200000,-0.0000784000,0.0000000000,0.0000000000,584.4431922000,0.5897102100,91.8158726000,LOS
73.0000000000,32.0000000000,0.0000000000,-853742.5782000000,35.0000000000,34.0000000000,35.0000000000,35.0000000000,24.0000000000,-0.2390000000,18536.6683000000,0.0000000000,0.0000000000,0.0000000000,350.9580014000,1.5537034610,362522.1430000000,NLOS
74.0000000000,49.0000000000,0.0000000000,-480349.8301000000,35.0000000000,34.0000000000,38.0000000000,46.0000000000,34.0000000000,0.3870000000,18426.4391400000,0.0000367000,0.0000000000,0.0000000000,240.7293894000,5.8546820470,136.6800719000,LOS
81.0000000000,26.0000000000,0.0000000000,-446070.7626000000,19.0000000000,18.0000000000,19.0000000000,19.0000000000,16.0000000000,-0.6930000000,18945.3698500000,0.0000000000,0.0000000000,0.0000000000,759.6595511000,-22.3705450600,-45149.6725500000,NLOS
23.0000000000,38.0000000000,0.0000000000,-517309.0138000000,43.0000000000,42.0000000000,42.0000000000,47.0000000000,41.0000000000,-0.3230000000,17771.3869500000,-0.0000868000,0.0000000000,0.0000000000,414.0489176000,0.5183146340,52.6374242600,LOS
1.0000000000,77.0000000000,0.0000000000,-512231.1081000000,40.0000000000,39.0000000000,40.0000000000,40.0000000000,19.0000000000,0.5760000000,18100.0294900000,-0.0000093500,0.0000000000,0.0000000000,93.5709550000,0.1034773030,15.7464976700,LOS
3.0000000000,46.0000000000,0.0000000000,-451416.8901000000,30.0000000000,29.0000000000,31.0000000000,36.0000000000,20.0000000000,0.5080000000,17898.0220600000,0.0001940000,0.0000000000,0.0000000000,295.2097234000,-1.5025460240,41.8139667700,NLOS
4.0000000000,66.0000000000,0.0000000000,-511418.4830000000,46.0000000000,45.0000000000,46.0000000000,48.0000000000,44.0000000000,0.4400000000,18529.4813300000,-0.0000067700,0.0000000000,0.0000000000,336.3396220000,0.4008990040,-25.6813510700,LOS
9.0000000000,8.0000000000,0.0000000000,-533008.1537000000,44.0000000000,43.0000000000,44.0000000000,45.0000000000,43.0000000000,0.2930000000,17608.6606300000,-0.0000784000,0.0000000000,0.0000000000,584.4794239000,-0.0362316850,91.1677698400,LOS
73.0000000000,32.0000000000,0.0000000000,-871957.3744000000,35.0000000000,34.0000000000,35.0000000000,35.0000000000,24.0000000000,0.4530000000,18544.2195500000,0.0000000000,0.0000000000,0.0000000000,351.0144472000,0.0564458110,362543.7341000000,NLOS
74.0000000000,49.0000000000,0.0000000000,-498546.5644000000,35.0000000000,34.0000000000,35.0000000000,46.0000000000,34.0000000000,-0.2130000000,18430.8182900000,0.0000367000,0.0000000000,0.0000000000,237.6137313000,-3.1156580220,140.2097811000,LOS
81.0000000000,26.0000000000,0.0000000000,-464244.3110000000,19.0000000000,19.0000000000,19.0000000000,19.0000000000,16.0000000000,0.4980000000,18943.2409200000,0.0000000000,0.0000000000,0.0000000000,750.0358131000,-9.6237380130,-45169.3293000000,NLOS
23.0000000000,38.0000000000,0.0000000000,-535502.0440000000,43.0000000000,42.0000000000,43.0000000000,47.0000000000,41.0000000000,0.4340000000,17778.9306500000,-0.0000868000,0.0000000000,0.0000000000,414.0174872000,0.0314304310,52.4626218000,LOS
1.0000000000,77.0000000000,0.0000000000,-530413.0353000000,40.0000000000,39.0000000000,40.0000000000,40.0000000000,19.0000000000,-0.4350000000,18089.5195800000,-0.0000093500,0.0000000000,0.0000000000,93.6914523300,-0.1204973240,14.9615924000,LOS
3.0000000000,46.0000000000,0.0000000000,-469598.4246000000,30.0000000000,29.0000000000,31.0000000000,36.0000000000,20.0000000000,-0.3300000000,17887.5561000000,0.0001940000,0.0000000000,0.0000000000,295.6287379000,-0.4190145470,40.6427160100,NLOS
